MANUAL,SKILL
Cyber Threats,Provide input to or develop courses of action based on threat factors
Information Technology and Forensics,Provide input to the administrative and logistical elements of an operational support plan
Analysis,"Provide input to the analysis, design, development or acquisition of capabilities used for meeting objectives"
Cyber Threats,Provide input to the identification of cyber-related success criteria
Education/Teaching,"Provide input to the Risk Management Framework process activities and related documentation (eg, system life-cycle support plans, concept of operations, operational procedures, and maintenance training materials)"
Analysis,"Provide intelligence analysis and support to designated exercises, planning activities, and time sensitive operations"
Education/Teaching,"Provide leadership and direction to information technology (IT) personnel by ensuring that cybersecurity awareness, basics, literacy, and training are provided to operations personnel commensurate with their responsibilities"
Data Security,Provide leadership for the organization’s privacy program
Data Security,"Provide leadership in the planning, design and evaluation of privacy and security related projects"
Analysis,"Provide legal analysis and decisions to inspectors general, privacy officers, oversight and compliance personnel regarding compliance with cybersecurity policies and relevant legal and regulatory requirements"
Analysis,"Provide near-real time language analysis support (eg, live operations)"
Education/Teaching,Provide ongoing optimization and problem-solving support
Education/Teaching,Provide operations and reengagement recommendations
Education/Teaching,Provide planning support between internal and external partners
Cyber Crime and Law,"Provide policy guidance to cyber management, staff, and users"
Education/Teaching,Provide real-time actionable geolocation information
Education/Teaching,Provide recommendations for possible improvements and upgrades
Database Systems,Provide recommendations on data structures and databases that ensure correct and quality production of reports/management information
Database Systems,Provide recommendations on new database technologies and architectures
Programming Fundamentals,Provide requirements and feedback to optimize the development of language processing tools
Education/Teaching,Provide strategic guidance to corporate officers regarding information resources and technology
Education/Teaching,Provide subject matter expertise to development of exercises
Cyber Threats,Provide subject matter expertise to planning efforts with internal and external cyber operations partners
Education/Teaching,"Provide subject matter expertise to planning teams, coordination groups, and task forces as necessary"
Education/Teaching,Provide subject matter expertise to the development of a common operational picture
Cyber Threats,Provide subject matter expertise to the development of cyber operations specific indicators
Networking,Provide subject matter expertise to website characterizations
Education/Teaching,Provide subject-matter expertise and support to planning/developmental forums and working groups as appropriate
Data Security,Provide support to security/certification test and evaluation activities
Analysis,Provide support to test and evaluation activities
Cybersecurity Foundations,Provide system-related input on cybersecurity requirements to be included in statements of work and other appropriate procurement documents
Education/Teaching,Provide target recommendations which meet leadership objectives
Education/Teaching,Provide targeting products and targeting support as designated
Cyber Crime and Law,Provide technical assistance on digital evidence matters to appropriate personnel
Disaster Management,"Provide technical documents, incident reports, findings from computer examinations, summaries, and other situational awareness information to higher headquarters"
Education/Teaching,Provide technical summary of findings in accordance with established reporting procedures
Education/Teaching,Provide time sensitive targeting support
Intrusion Detection Systems,"Provide timely detection, identification, and alerting of possible attacks/intrusions, anomalous activities, and misuse activities and distinguish these incidents and events from benign activities"
Cyber Threats,"Provide timely notice of imminent or hostile intentions or activities which may impact organization objectives, resources, or capabilities"
Cyber Threats,Provides cybersecurity recommendations to leadership based on significant threats and vulnerabilities
Analysis,"providing analysis on target-related matters (eg, language, cultural, communications)"
Analysis,providing analysis to aid writing phased after action reports
Programming Fundamentals,Providing and using Application Programming Interfaces (API's)
Data Security,"providing real-time, actionable geolocation information utilizing target infrastructures"
Analysis,providing Test & Evaluation resource estimate
Analysis,"providing understanding of target or threat systems through the identification and link analysis of physical, functional, or behavioral relationships"
Networking,Proxy Servers
Encryption and Cryptography,"Public Key Cryptography (Diffie-Hellman, RSA, ECC, ElGamal, DSA) Certificates"
Encryption and Cryptography,"Public Key Cryptography (Diffie-Hellman, RSA, ECC, ElGamal, DSA) Key Management (creation, exchange/distribution)"
Encryption and Cryptography,"Public Key Cryptography (Diffie-Hellman, RSA, ECC, ElGamal, DSA) Public Key Infrastructure"
Software Development,Quality of Service
Encryption and Cryptography,Quantum Key Cryptography
Database Systems,query languages such as SQL (structured query language)
Programming Fundamentals,Queues
Cyber Crime and Law,Race Conditions
Networking,Radio Frequencies Interference
Information Technology and Forensics,Radio Frequencies RF selection and management
Cybersecurity Foundations,Rainbow Tables
Data Mining,Re-task or re-direct collection assets and resources
Programming Fundamentals,"Read, interpret, write, modify, and execute simple scripts (eg, Perl, VBScript) on Windows and UNIX, Linux systems (eg, those that perform tasks such as: parsing large data files, automating manual tasks, and fetching/processing remote data) "
Information Technology and Forensics,"reading and interpreting signatures (eg, snort)"
Programming Fundamentals,reading Hexadecimal data
Programming Fundamentals,"reading, interpreting, writing, modifying, and executing simple scripts (eg, PERL, VBS, JavaScript, PHP, Python, Ruby, Groovy, Lua, Bash, PowerShell, R, VBA, Emacs Lisp, GML) on Windows and Unix systems (eg, those that perform tasks like parsing large data files, automating manual tasks, and fetching/processing remote data)"
Networking,Real-time Operating Systems
Operating Systems,Real-time operating systems/security issues
Networking,Receive and analyze network alerts from various sources within the enterprise and determine possible causes of such alerts
Cyber Threats,Recent Attack Trends
Disaster Management,"Recognize a possible security violation and take appropriate action to report the incident, as required"
Operating Systems,Recognize and accurately report forensic artifacts indicative of a particular operating system
Analysis,recognize and mitigate cognitive biases which may affect analysis
Analysis,recognize and mitigate deception in reporting and analysis
Cyber Threats,recognize that changes to systems or environment can change residual risks in relation to risk appetite
Communication Architecture and Security,recognize the importance of auditing Communications Security (COMSEC) material and accounts
Communication Architecture and Security,recognize the unique aspects of the Communications Security (COMSEC) environment and hierarchy
Cyber Threats,recognizing and categorizing types of vulnerabilities and associated attacks
Networking,recognizing and interpreting malicious network activity in traffic
Cyber Threats,recognizing denial and deception techniques of the target
Cyber Threats,recognizing midpoint opportunities and essential information
Cyber Threats,recognizing relevance of information
Communication Architecture and Security,recognizing significant changes in a target’s communication patterns
Analysis,recognizing technical information that may be used for leads for metadata analysis
Data Mining,"recognizing technical information that may be used for leads to enable remote operations (data includes users, passwords, email addresses, IP ranges of the target, frequency in DNI behavior, mail servers, domain servers, SMTP header information)"
Cyber Threats,recognizing technical information that may be used for target development including intelligence development
Cyber Threats,"recognizing vulnerabilities in security systems (eg, vulnerability and compliance scanning)"
Cyber Threats,Recommend computing environment vulnerability corrections
Information Technology and Forensics,"Recommend new or revised security, resilience, and dependability measures based on the results of reviews"
Cyber Crime and Law,Recommend policy and coordinate review and approval
Software Development,"Recommend refinement, adaption, termination, and execution of operational plans as appropriate"
Cybersecurity Foundations,Recommend resource allocations required to securely operate and maintain an organization’s cybersecurity requirements
Education/Teaching,Recommend revisions to curriculum and course content based on feedback from previous training sessions
Networking,Reconstruct a malicious attack or activity based off network traffic
Networking,Reconstruct networks in diagram or report format
Information Technology and Forensics,Record and manage test data
Data Mining,Record information collection and/or environment preparation activities against targets during operations designed to achieve cyber effects
Software Development,"recovering failed systems/servers (eg, recovery software, failover clusters, replication, etc)"
Programming Fundamentals,Recursion
Information Technology and Forensics,Register the system with appropriate organizational program/management offices
Analysis,"Regression Analysis (eg, Hierarchical Stepwise, Generalized Linear Model, Ordinary Least Squares, Tree-Based Methods, Logistic, Vector Generalized linear model, descrete choice, binomial regression, binary regression, logistic regression, multinomial logistic regressioon, mixed logit, probit, multinomial probit, ordered logit, ordered probit, poisson, multilevel model, fixed effects, random effects, linear mixed-effects model, nolinear mixed-effects model, General linear model, proportional hazards model, polynomial regression, simple regression, nonlinear regression, support vector regression, nonparametric, semiparametric, robust, quantile, isotonic, prinicpal components, least angle, local, segmented, linear)"
Cyber Crime and Law,Regulations
Software Development,"relate strategy, business, and technology in the context of organizational dynamics"
Cyber Crime and Law,Relationship between compliance and audit
Software Development,"relevant concepts, procedures, software, equipment, and technology applications"
Cyber Crime and Law,"relevant laws, legal authorities, restrictions, and regulations pertaining to cyber defense activities"
Cyber Crime and Law,"relevant laws, regulations, and policies"
Programming Fundamentals,"relevant programming languages (eg, C++, Python, Java, JavaScript, Kotlin, R, PHP, Go, C, Swift, C#, Dart, Matlab, Ruby, Rust, Scala, TypeScript,  etc)"
Information Technology and Forensics,relevant reporting and dissemination procedures
Software Development,"remote access processes, tools, and capabilities related to customer support"
Networking,remote access technology concepts
Operating Systems,remote command line and Graphic User Interface (GUI) tool usage
Software Development,Removing unnecessary components
Networking,Report intelligence-derived significant network events and intrusions
Data Security,"Report on a periodic basis regarding the status of the privacy program to the Board, CEO or other responsible individual or committee"
Communication Architecture and Security,Report the security status of a system (including the effectiveness of security controls) to an authorizing official on an ongoing basis in accordance with the monitoring strategy
Data Mining,"Request discipline-specific processing, exploitation, and disseminate information collected using discipline's collection assets and resources in accordance with approved guidance and/or procedures"
Cyber Threats,required intelligence planning products associated with cyber operational planning
Education/Teaching,Research and evaluate available technologies and standards to meet customer requirements
Networking,"Research communications trends in emerging technologies (in computer and telephony networks, satellite, cable, and wireless) in both open and classified sources"
Networking,Research current technology to understand capabilities of required system or network
Information Technology and Forensics,research strategies and knowledge management
Education/Teaching,researching essential information
Cyber Threats,researching vulnerabilities and exploits utilized in traffic
Information Technology and Forensics,resiliency and redundancy
Data Security,Resolve allegations of noncompliance with the corporate privacy policies or notice of information practices
Cyber Crime and Law,"Resolve conflicts in laws, regulations, policies, standards, or procedures"
Information Technology and Forensics,Resource management
Information Technology and Forensics,Resource management in real time systems
Information Technology and Forensics,resource management principles and techniques
Networking,Resource optimization
Analysis,"Respond to issues flagged during continuous monitoring, escalate and coordinate a response"
Cyber Threats,"Respond to risk based on the results of ongoing monitoring activities, assessment of risk, and outstanding items in a plan of action and milestones"
Analysis,"reverse engineering (eg, hex editing, binary packaging utilities, debugging, and strings analysis) to identify function and ownership of remote tools"
Information Technology and Forensics,reverse engineering concepts
Information Technology and Forensics,Reverse Engineering Tools & Techniques
Data Security,Review all system-related information security plans to ensure alignment between security and privacy practices
Cyber Threats,Review and apply cyber career field qualification standards
Cyber Crime and Law,Review and apply organizational policies related to or influencing the cyber workforce
Cyber Crime and Law,Review and approve a supply chain security/risk management policy
Information Technology and Forensics,Review and approve security plans
Information Technology and Forensics,Review and comprehend organizational leadership objectives and guidance for planning
Data Mining,"Review and update overarching collection plan, as required"
Programming Fundamentals,"Review and validate data mining and data warehousing programs, processes, and requirements"
Information Technology and Forensics,Review appropriate information sources to determine validity and relevance of information gathered
Networking,"Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network"
Data Mining,Review capabilities of allocated collection assets
Cyber Crime and Law,Review existing and proposed policies with stakeholders
Cyber Threats,Review findings from the continuous monitoring program and mitigate risks on a timely basis
Information Technology and Forensics,"Review forensic images and other data sources (eg, volatile data) for recovery of potentially relevant information"
Data Mining,Review intelligence collection guidance for accuracy/applicability
Data Mining,Review list of prioritized collection requirements and essential information
Information Technology and Forensics,Review or conduct audits of information technology (IT) programs and projects
Programming Fundamentals,review processed target language materials for accuracy and completeness
Information Technology and Forensics,Review Secure Design Patterns
Cybersecurity Foundations,"Review service performance reports identifying any significant issues and variances, initiating, where necessary, corrective actions and ensuring that all outstanding issues are followed up"
Cyber Threats,Review the security status of a system (including the effectiveness of security controls) on an ongoing basis to determine whether the risk remains acceptable
Education/Teaching,"Review training documentation (eg, Course Content Documents [CCD], lesson plans, student texts, examinations, Schedules of Instruction [SOI], and course descriptions)"
Cyber Threats,"Review, approve, prioritize, and submit operational requirements for research, development, and/or acquisition of cyber capabilities"
Cyber Threats,"Review, conduct, or participate in audits of cyber programs and projects"
Cyber Threats,Review/Assess cyber workforce effectiveness to adjust skill and/or qualification standards
Information Technology and Forensics,reviewing and editing assessment products
Cyber Threats,reviewing and editing intelligence products from various sources for cyber operations
Information Technology and Forensics,reviewing and editing plans
Information Technology and Forensics,reviewing and editing target materials
Cyber Crime and Law,reviewing logs to identify evidence of past intrusions
Data Mining,Revise collection matrix based on availability of optimal assets and resources
Cyber Threats,risk assessment methodologies
Analysis,Risk Assessment/Analysis Methodologies
Cyber Threats,risk management and mitigation strategies
Cyber Threats,Risk Management Framework (RMF) requirements
Cyber Threats,Risk Management Models
Cyber Threats,Risk Management Processes
Cyber Threats,"risk management processes (eg, methods for assessing and mitigating risk)"
Cyber Threats,Risk Measurement and Evaluation Methodologies
Cyber Threats,Risk Mitigation Economics
Cyber Threats,risk scoring
Cyber Threats,Risk Transference/Acceptance/Mitigation
Cyber Threats,risk/threat assessment
Cyber Threats,Risks to Privacy
Operating Systems,Robust Programming
Information Technology and Forensics,Role of Process Management
Information Technology and Forensics,Role of Project/Program Management
Data Security,Roles and Responsibilities of the Security Organization
Cybersecurity Foundations,Roles/Players
Analysis,root cause analysis techniques
Cyber Threats,Root causes of vulnerabilities
Networking,Routing in IPv4 and v6 Ipsec
Networking,Routing in IPv4 and v6 Layer 3 security issues
Networking,Routing in IPv4 and v6 Routing tables and metrics
Networking,Routing Protocols
Cybersecurity Foundations,RRC Signaling
Information Technology and Forensics,Run time overhead minimization
Data Security,Sandboxing
Information Technology and Forensics,Sanitize and minimize information to protect sources and methods
Communication Architecture and Security,satellite-based communication systems
Intrusion Detection Systems,SCADA Firewalls
Communication Architecture and Security,"Scan, identify and prioritize target graphic (including machine-to-machine communications) and/or voice language material"
Information Technology and Forensics,Scheduling of virtual machines
Cyber Threats,Scope the cyber intelligence planning effort
Programming Fundamentals,scripting
Programming Fundamentals,"Scripting on both Windows and Linux Language (eg PERL, Python, BASH, JAVA, VB Scripting, Powershell)"
Programming Fundamentals,Searching / Sorting
Programming Fundamentals,secure coding techniques
Encryption and Cryptography,"secure configuration management techniques (eg, Security Technical Implementation Guides (STIGs), cybersecurity best practices on cisecurityorg, password policies, encryption, user rights and privilages)"
Software Development,Secure Installation
Networking,Secure network design
Programming Fundamentals,Secure Programming paradigms Code reviews
Programming Fundamentals,Secure Programming paradigms Pair programming
Programming Fundamentals,Secure Programming paradigms Test-driven development
Software Development,"secure software deployment methodologies, tools, and practices"
Communication Architecture and Security,"secure test plan design (e g unit, integration, system, acceptance)"
Data Security,Secure the electronic device or information source
Software Development,secure update mechanisms
Networking,securing network communications
Data Security,Security
Communication Architecture and Security,"security architecture concepts and enterprise architecture reference models (eg, Zachman, Federal Enterprise Architecture [FEA])"
Data Security,Security Assessment and Authorization process
Education/Teaching,"Security Awareness, Training and Education "
Data Security,Security Baselining
Operating Systems,"security concepts in operating systems (eg, Linux, Unix, Windows, iOS, Android, ChromeOS, macOS, Ubuntu)"
Software Development,Security concerns in systems software
Data Security,security event correlation tools
Networking,"security hardware and software options, including the network artifacts they induce and their effects on exploitation"
Software Development,security implications of software configurations
Data Security,Security Issues Data Integrity
Data Security,Security Issues Data Poisoning
Data Security,Security issues imposed by limited resources
Data Security,Security Issues Resource Starvation
Software Development,Security Life-Cycle
Information Technology and Forensics,security management
Data Security,"Security Mechanisms (eg, Identification/Authentication, Audit) "
Data Security,"Security Models (Bell-La Padula, Biba, Clark Wilson, Brewer Nash, Multi-level security) "
Data Security,"security models (eg, Bell-LaPadula model, Biba integrity model, Clark Wilson integrity model)"
Cyber Crime and Law,Security Policies Compliance with Applicable Laws and Regulations
Cyber Crime and Law,Security Policies Security best practices and frameworks
Cyber Crime and Law,Security Policy Development
Programming Fundamentals,Security program addresses: Certification and Accreditation
Information Technology and Forensics,Security program addresses: Configuration and Patch management
Disaster Management,Security program addresses: Disaster Recovery Program
Disaster Management,Security program addresses: Incident Response Program
Programming Fundamentals,Security program addresses: Personnel Security
Information Technology and Forensics,Security program addresses: Physical Security
Data Security,Security program addresses: System and Data Identification
Programming Fundamentals,Security program addresses: System Documentation
Programming Fundamentals,Security program addresses: System security plans
Information Technology and Forensics,Security role of intermediate layers Hardware Abstraction Layer
Data Security,Security role of intermediate layers Virtualization Layers
Communication Architecture and Security,"security system design tools, methods, and techniques"
Cyber Crime and Law,Seek consensus on proposed policy changes from stakeholders
Cyber Threats,select the appropriate implant to achieve operational goals
Programming Fundamentals,Select the security controls for a system and document the functional description of the planned control implementations in a security plan
Software Development,Separation (of domains/duties)
Education/Teaching,Serve as a conduit of information from partner teams by identifying subject matter experts who can assist in the investigation of complex or unusual situations
Cyber Threats,Serve as a liaison with external partners
Cyber Crime and Law,"Serve as an internal consultant and advisor in own area of expertise (eg, technical, copyright, print media, electronic media)"
Cyber Crime and Law,Serve as technical expert and liaison to law enforcement personnel and explain incident details as required
Data Security,Serve as the information privacy liaison for users of technology systems
Communication Architecture and Security,"serve as the primary liaison between the enterprise architect and the systems security engineer and coordinates with system owners, common control providers, and system security officers on the allocation of security controls as system-specific, hybrid, or common controls"
Data Security,Serve in a leadership role for Privacy Oversight Committee activities
Cyber Crime and Law,Serve on agency and interagency policy boards
Information Technology and Forensics,server administration
Communication Architecture and Security,"server administration and systems engineering theories, concepts, and methods"
Operating Systems,server and client operating systems
Networking,server diagnostic tools and fault identification techniques
Networking,Server-Side Controls
Networking,"service management concepts for networks and related standards (eg, Information Technology Infrastructure Library, current version [ITIL])"
Communication Architecture and Security,Service Oriented Architectures
Information Technology and Forensics,Session Management
Networking,set up a physical or logical sub-networks that separates an internal local area network (LAN) from other untrusted networks
Information Technology and Forensics,setting up a forensic workstation
Networking,setting up physical or logical sub-networks that separate an internal local area network (LAN) from other untrusted networks
Cyber Crime and Law,Sexual Exploitation
Cyber Threats,share meaningful insights about the context of an organization’s threat environment that improve its risk management posture
Cyber Threats,Shared Hosting Vulnerabilities
Operating Systems,Shutting Down Unnecessary/Unneeded Services
Cybersecurity Foundations,Signaling Methods
Cyber Threats,"Signature implementation impact for viruses, malware, and attacks"
Software Development,Simplicity of design (Economy of Mechanism)
Cyber Threats,"Skill of identifying, capturing, containing, and reporting malware"
Data Mining,"Skill to access information on current assets available, usage"
Database Systems,Skill to access the databases where plans/directives/guidance are maintained
Cyber Threats,Skill to analyze and assess internal and external partner cyber operations capabilities and tools
Analysis,Skill to analyze and assess internal and external partner intelligence processes and the development of information requirements and essential information
Data Mining,"Skill to analyze and assess internal and external partner organization capabilities and limitations (those with tasking, collection, processing, exploitation and dissemination responsibilities)"
Analysis,Skill to analyze and assess internal and external partner reporting
Analysis,Skill to analyze strategic guidance for issues requiring clarification and/or additional guidance
Cyber Threats,Skill to analyze target or threat sources of strength and morale
Cyber Threats,Skill to anticipate intelligence capability employment requirements
Cyber Threats,Skill to anticipate key target or threat activities which are likely to prompt a leadership decision
Cyber Threats,Skill to anticipate new security threats
Analysis,Skill to apply analytical standards to evaluate intelligence products
Data Security,"Skill to apply cybersecurity and privacy principles to organizational requirements (relevant to confidentiality, integrity, availability, authentication, non-repudiation)"
Communication Architecture and Security,"Skill to apply the capabilities, limitations and tasking methodologies of available platforms, sensors, architectures and apparatus as they apply to organization objectives"
Cyber Threats,Skill to apply the process used to assess the performance and impact of cyber operations
Data Mining,"Skill to articulate a needs statement/requirement and integrate new and emerging collection capabilities, accesses and/or processes into collection operations"
Cyber Threats,Skill to articulate intelligence capabilities available to support execution of the plan
Analysis,Skill to articulate the needs of joint planners to all-source analysts
Cyber Threats,Skill to associate Intelligence gaps to priority information requirements and observables
Cyber Threats,Skill to compare indicators/observables with requirements
Cyber Threats,Skill to conceptualize the entirety of the intelligence process in the multiple domains and dimensions
Cyber Threats,Skill to convert intelligence requirements into intelligence production tasks
Cyber Threats,Skill to coordinate the development of tailored intelligence products
Cyber Threats,Skill to correlate intelligence priorities to the allocation of intelligence resources/assets
Software Development,Skill to craft indicators of operational progress/success
Cyber Threats,Skill to create and maintain up-to-date planning documents and tracking of services/production
Disaster Management,Skill to design incident response for cloud service models
Data Mining,Skill to determine feasibility of collection
Data Mining,Skill to develop a collection plan that clearly shows the discipline that can be used to collect the information needed
Cyber Threats,Skill to develop insights about the context of an organization’s threat environment
Cyber Threats,Skill to distinguish between notional and actual resources and their applicability to the plan under development
Communication Architecture and Security,Skill to ensure that accountability information is collected for information system and information and communications technology supply chain infrastructure components
Data Mining,Skill to ensure that the collection strategy leverages all available resources
Analysis,"Skill to evaluate factors of the operational environment to objectives, and information requirements"
Analysis,Skill to evaluate requests for information to determine if response information exists
Data Mining,"Skill to evaluate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities"
Cyber Threats,Skill to express orally and in writing the relationship between intelligence capability limitations and decision-making risk and impacts on the overall operation
Data Mining,Skill to extract information from available tools and applications associated with collection requirements and collection operations management
Cyber Threats,Skill to graphically depict decision support materials containing intelligence and partner capability estimates
Data Mining,"Skill to identify and apply tasking, collection, processing, exploitation and dissemination to associated collection disciplines"
Data Security,Skill to identify cybersecurity and privacy issues that stem from connections with internal and external customers and partner organizations
Cyber Threats,Skill to identify Intelligence gaps
Data Mining,"Skill to identify sources, characteristics, and uses of the organization’s data assets"
Communication Architecture and Security,Skill to identify successful capabilities to find solutions to less common and more complex system problems
Cyber Threats,Skill to identify when priority information requirements are satisfied
Data Mining,Skill to implement established procedures for evaluating collection management and operations activities
Analysis,Skill to interpret planning guidance to discern level of analytical support required
Data Mining,"Skill to interpret readiness reporting, its operational relevance and intelligence collection impact"
Cyber Threats,Skill to monitor target or threat situation and environmental factors
Cyber Threats,Skill to monitor threat effects to partner capabilities and maintain a running estimate
Data Mining,"Skill to optimize collection system performance through repeated adjustment, testing, and re-adjustment"
Data Mining,"Skill to orchestrate intelligence planning teams, coordinate collection and production support, and monitor status"
Education/Teaching,"Skill to prepare and deliver reports, presentations and briefings, to include using visual aids or presentation technology"
Cyber Threats,Skill to relate intelligence resources/assets to anticipated intelligence requirements
Cyber Threats,Skill to remain aware of evolving technical infrastructures
Data Mining,Skill to resolve conflicting collection requirements
Cyber Threats,Skill to respond and take local actions in response to threat sharing alerts from service providers
Data Mining,Skill to review performance specifications and historical information about collection assets
Data Mining,Skill to specify collections and/or taskings that must be conducted in the near term
Cyber Threats,Skill to synchronize operational assessment procedures with the critical information requirement process
Cyber Threats,Skill to synchronize planning activities and required intelligence support
Data Mining,"Skill to translate the capabilities, limitations and tasking methodologies of organic, theater, national, coalition and other collection capabilities"
Data Mining,"Skill to translate, track, and prioritize information needs and intelligence collection requirements across the extended enterprise"
Data Mining,Skill to use collaborative tools and environments for collection operations
Analysis,Skill to use critical thinking to analyze organizational patterns and relationships
Cyber Threats,Skill to use cyber defense Service Provider reporting structure and processes within one’s own organization
Cyber Threats,"Skill to use risk scoring to inform performance-based and cost-effective approaches to help organizations to identify, assess, and manage cybersecurity risk"
Data Mining,Skill to use systems and/or tools to track collection requirements and determine if they are satisfied
Programming Fundamentals,Slack Space
Cyber Threats,social dynamics of computer attackers in a global context
Software Development,Social Engineering
Networking,Social Network implementation and security issues
Networking,"software asset management and the value of tracking the location and configuration of networked devices and software across departments, locations, facilities and, potentially, supporting business functions"
Software Development,Software Assurance Maturity Model
Software Development,software debugging principles
Networking,"Software Defined Networking Principles, protocols, implications"
Software Development,"software design tools, methods, and techniques"
Software Development,"software development models (eg, Waterfall Model, Spiral Model, V-model, Incremental, RAD, Agile, Iterative, Prototype)"
Software Development,software engineering
Software Development,software quality assurance process
Software Development,"software related information technology (IT) security principles and methods (eg, modularization, layering, abstraction, data hiding, simplicity/minimization)"
Software Development,software reverse engineering techniques
Software Development,"Software Security (secure coding principles, software issues by type) "
Data Mining,"Solicit and manage to completion feedback from requestors on quality, timeliness, and effectiveness of collection against collection requirements"
Analysis,Source and Binary Code Analysis
Data Security,"sources, characteristics, and uses of the organization’s data assets"
Cyber Threats,"Sourcing attacks Pirated, Fake, and Counterfeit Parts"
Cyber Threats,Sourcing attacks Supply chain disruption
Cyber Threats,Sparse vs Full Imaging
Programming Fundamentals,"specialized target language (eg, acronyms, jargon, technical terminology, code words)"
Cybersecurity Foundations,specific operational impacts of cybersecurity lapses
Cyber Threats,"specific target identifiers, and their usage"
Software Development,Specification development
Intrusion Detection Systems,Specification-based Detection
Data Mining,Specify changes to collection plan and/or operational environment that necessitate re-tasking or re-directing of collection assets and resources
Data Mining,Specify discipline-specific collections and/or taskings that must be executed in the near term
Cyber Threats,Spectral representation
Analysis,Sponsor and promote continuous monitoring within the organization
Cyber Threats,Spread Spectrum Signals
Database Systems,SQL Data Definition Language
Database Systems,SQL Data Manipulation Language DELETE
Database Systems,SQL Data Manipulation Language INSERT
Database Systems,SQL Data Manipulation Language SELECT
Database Systems,SQL Data Manipulation Language UPDATE
Database Systems,"SQL Database Administration User creation/deletion, permissions and access controls)"
Programming Fundamentals,Stacks
Information Technology and Forensics,"staff management, assignment, and allocation processes"
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Assessment
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Establishing Persistence
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Execution
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Gaining Access
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Hiding Presence
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Reconnaissance
Cyber Threats,Stages of a Cyber Operation (and details of each phase) Target Identification
Cyber Crime and Law,"State, US and international standards / jurisdictions Other Federal laws and regulations"
Analysis,Static Analysis
Analysis,Static and Dynamic Analysis Techniques
Cybersecurity Foundations,Steganography
Cyber Threats,Stimulation Methods / Instrumentation (probing and measurement)
Analysis,"Stimulus, Data Collection, Data Analysis "
Programming Fundamentals,Storage
Database Systems,Storage Devices
Information Technology and Forensics,Storage in virtual environments
Analysis,"Store, retrieve, and manipulate data for analysis of system capabilities and requirements"
Cyber Threats,strategic theory and practice
Education/Teaching,strategies and tools for target research
Programming Fundamentals,String matching algorithms
Programming Fundamentals,Strings
Analysis,"structure, approach, and strategy of exploitation tools (eg, sniffers, keyloggers, injectors, scanners, fingerprinters) and techniques (eg, gaining backdoor access, collecting/exfiltrating data, conducting vulnerability analysis of other systems in the network)"
Analysis,structured analysis principles and methods
Networking,sub-netting
Data Mining,Submit information requests to collection requirement management section for processing as collection requests
Cyber Threats,Submit or respond to requests for deconfliction of cyber operations
Communication Architecture and Security,successful capabilities to identify the solutions to less common and more complex system problems
Programming Fundamentals,Suite B Algorithms
Programming Fundamentals,"Supervise and assign work to programmers, designers, technologists and technicians, and other engineering and scientific personnel"
Disaster Management,Supervise or manage protective or corrective measures when a cybersecurity incident or vulnerability is discovered
Cyber Threats,Supply Chain Risk Management Practices (NIST SP 800-161)
Cyber Threats,"supply chain risk management standards, processes, and practices"
Software Development,Support identification and documentation of collateral effects
Software Development,Support integration of qualified cyber workforce personnel into information systems life cycle development processes
Communication Architecture and Security,"Support necessary compliance activities (eg, ensure that system security configuration guidelines are followed, compliance monitoring occurs)"
Cyber Crime and Law,Support the CIO in the formulation of cyber-related policies
Software Development,Support the design and execution of exercise scenarios
Cyber Crime and Law,"Support the organization’s privacy compliance program, working closely with the Privacy Officer, Chief Information Security Officer, and other business leaders to ensure compliance with federal and state privacy laws and regulations"
Database Systems,"Supports incident management, service-level management, change management, release management, continuity management, and availability management for databases and data management systems"
Analysis,"survey, collection, and analysis of wireless LAN metadata"
Software Development,"sustainment technologies, processes and strategies"
Encryption and Cryptography,"Symmetric Cryptography (DES, Twofish) "
Information Technology and Forensics,symmetric key rotation techniques and concepts
Cyber Crime and Law,Symptom Recognition
Cyber Threats,Synchronize cyber international engagement activities and associated resource requirements as appropriate
Cyber Threats,Synchronize cyber portions of security cooperation plans
Data Mining,Synchronize the integrated employment of all available organic and partner intelligence collection assets using available collaboration capabilities and techniques
Information Technology and Forensics,"synthesizing, analyzing, and prioritizing meaning across data sets"
Operating Systems,"system administration concepts for operating systems such as but not limited to Unix, Linux, IOS, Android, and Windows operating systems"
Networking,"system administration, network, and operating system hardening techniques"
Database Systems,"system and application security threats and vulnerabilities (eg, buffer overflow, mobile code, cross-site scripting, Procedural Language/Structured Query Language [PL/SQL] and injections, race conditions, covert channel, replay, return-oriented attacks, malicious code)"
Communication Architecture and Security,System Architectures
Analysis,"system design tools, methods, and techniques, including automated systems analysis and design tools"
Communication Architecture and Security,system fault tolerance methodologies
Programming Fundamentals,System Integration
Software Development,"system life cycle management principles, including software security and usability"
Software Development,System Life-Cycle Phases and Issues Deployment
Software Development,System Life-Cycle Phases and Issues Design
Software Development,System Life-Cycle Phases and Issues Development
Software Development,System Life-Cycle Phases and Issues Disposal
