INDEX,TIER1 JOB,TIER2 JOB,TIER3 JOB,SKILL,
T0846,Networking,,,Identify target communications within the global network.,57
T0065,Networking,,,Develop and implement network backup and recovery procedures.,61
T0697,Networking,,,Facilitate access enabling by physical and/or wireless means.,61
T0777,Networking,,,Profile network or system administrators and their activities.,62
T0612,Networking,,,Conduct exploitation of wireless computer and digital networks.,63
T0461,Networking,,,Implement and enforce local network usage policies and procedures.,66
T0609,Networking,,,Conduct access enabling of wireless computer and digital networks.,66
T0291,Networking,,,Examine network topologies to understand data flows through the network.,72
T0494,Networking,,,"Administer accounts, network rights, and access to systems and equipment.",73
T0724,Networking,,,Identify potential points of strength and vulnerability within a network.,73
T0610,Networking,,,Conduct collection and processing of wireless computer and digital networks.,76
T0299,Networking,,,Identify network mapping and operating system (OS) fingerprinting activities.,77
T0043,Networking,,,Coordinate with enterprise-wide cyber defense staff to validate network alerts.,79
T0616,Networking,,,Conduct network scouting and vulnerability analyses of systems within a network.,80
T0232,Networking,,,Test and maintain network infrastructure including software and hardware devices.,81
T0570,Networking,,,Apply and utilize authorized cyber capabilities to enable access to targeted networks.,86
T0327,Networking,,,Evaluate network infrastructure vulnerabilities to enhance capabilities being developed.,88
T0297,Networking,,,Identify applications and operating systems of a network device based on network traffic.,89
T0200,Networking,,,"Provide feedback on network requirements, including network architecture and infrastructure.",92
T0722,Networking,,,Identify network components and their functionality to enable analysis and target development.,94
T0160,Networking,,,Patch network vulnerabilities to ensure that information is safeguarded against outside parties.,96
T0621,Networking,,,Conduct quality control to determine validity and relevance of information gathered about networks.,99
T0768,Networking,,,Conduct cyber activities to degrade/remove information resident in computers and computer networks.,99
T0302,Networking,,,"Develop contract language to ensure supply chain, system, network, and operational security are met.",100
T0035,Networking,,,"Configure and optimize network hubs, routers, and switches (e.g., higher-level protocols, tunneling).",101
T0091,Networking,,,"Ensure that cybersecurity inspections, tests, and reviews are coordinated for the network environment.",102
T0498,Networking,,,"Manage system/server resources including performance, capacity, availability, serviceability, and recoverability.",113
T0754,Networking,,,Monitor target networks to provide indications and warning of target communications changes or processing failures.,115
T0706,Networking,,,"Gather information about networks through traditional and alternative techniques, (e.g., social network analysis, call-chaining, traffic analysis.)",147
T0139,Networking,,,Maintain directory replication services that enable information to replicate automatically from rear servers to forward units via optimized routing.,148
T0192,Networking,,,"Prepare, distribute, and maintain plans, instructions, guidance, and standard operating procedures concerning the security of network system(s) operations.",155
T0148,Networking,,,"Manage the publishing of Computer Network Defense guidance (e.g., TCNOs, Concept of Operations, Net Analyst Reports, NTSM, MTOs) for the enterprise constituency.",161
T0310,Networking,,,Assist in the construction of signatures which can be implemented on cyber defense network tools in response to new or observed threats within the network environment or enclave.,178
T0847,Networking,,,"Maintain awareness of target communication tools, techniques, and the characteristics of target communication networks (e.g., capacity, functionality, paths, critical nodes) and their potential implications for targeting, collection, and analysis.",247
T0594,Operating Systems,,,Build and maintain electronic target folders.,45
T0125,Operating Systems,,,"Install and maintain network infrastructure device operating system software (e.g., IOS, firmware).",99
T0743,Operating Systems,,,Maintain situational awareness to determine if changes to the operating environment require review of the plan.,111
T0239,Operating Systems,,,Use federal and organization-specific published documents to manage operations of their computing environment system(s).,120
T0189,Programming Languages,,,"Prepare detailed workflow charts and diagrams that describe input, output, and logical operation, and convert them into a series of instructions coded in a computer language.",174
T0405,Programming Languages,,,"Utilize open source language such as R and apply quantitative techniques (e.g., descriptive and inferential statistics, sampling, experimental design, parametric and non-parametric tests of difference, ordinary least squares regression, general line).",251
T0667,Software Development,,,Develop potential courses of action.,36
T0465,Software Development,,,Develop guidelines for implementation.,38
T0488,Software Development,,,Implement designs for new or existing system(s).,48
T0538,Software Development,,,Provide support to test and evaluation activities.,50
T0582,Software Development,,,Provide expertise to course of action development.,50
T0463,Software Development,,,Develop cost estimates for new or modified system(s).,53
T0351,Software Development,,,Conduct hypothesis testing using statistical processes.,55
T0122,Software Development,,,Implement security designs for new or existing system(s).,57
T0456,Software Development,,,Develop secure software testing and validation procedures.,58
T0039,Software Development,,,Consult with customers to evaluate functional requirements.,59
T0235,Software Development,,,Translate functional requirements into technical solutions.,59
T0511,Software Development,,,Perform developmental testing on systems under development.,59
T0074,Software Development,,,"Develop policy, programs, and guidelines for implementation.",60
T0542,Software Development,,,Translate proposed capabilities into technical requirements.,60
T0324,Software Development,,,Direct software programming and development of documentation.,61
T0602,Software Development,,,Collaborate with customer to define information requirements.,61
T0080,Software Development,,,Develop test plans to address specifications and requirements.,62
T0788,Software Development,,,Provide input and assist in post-action effectiveness assessments.,66
T0789,Software Development,,,Provide input and assist in the development of plans and guidance.,66
T0052,Software Development,,,Define project scope and objectives based on customer requirements.,67
T0196,Software Development,,,"Provide advice on project costs, design concepts, or design changes.",68
T0311,Software Development,,,Consult with customers about software system design and maintenance.,68
T0284,Software Development,,,Design and develop new tools/technologies as related to cybersecurity.,70
T0678,Software Development,,,Engage customers to understand customers’ intelligence needs and wants.,71
T0204,Software Development,,,Provide input to implementation plans and standard operating procedures.,72
T0329,Software Development,,,Follow software and systems engineering life cycle standards and processes.,75
T0354,Software Development,,,Coordinate and manage the overall service provided to a customer end-to-end.,76
T0061,Software Development,,,Develop and direct system testing and validation procedures and documentation.,78
T0587,Software Development,,,Assist in the development and refinement of priority information requirements.,78
T0121,Software Development,,,"Implement new system design procedures, test procedures, and quality standards.",79
T0945,Software Development,,,Register the system with appropriate organizational program/management offices.,79
T0457,Software Development,,,"Develop system testing and validation procedures, programming, and documentation.",81
T0325,Software Development,,,Document a system's purpose and preliminary system security concept of operations.,82
T0040,Software Development,,,Consult with engineering staff to evaluate interface between hardware and software.,83
T0021,Software Development,,,"Build, test, and modify product prototypes using working models or theoretical models.",86
T0353,Software Development,,,"Confer with systems analysts, engineers, programmers, and others to design application.",87
T0455,Software Development,,,"Develop software system testing and validation procedures, programming, and documentation.",90
T0521,Software Development,,,Plan implementation strategy to ensure that enterprise components can be integrated and aligned.,96
T0447,Software Development,,,"Design hardware, operating systems, and software applications to adequately address requirements.",97
T0554,Software Development,,,Determine and document software patches or the extent of releases that would leave software vulnerable.,103
T0598,Software Development,,,Collaborate with development organizations to create and deploy the tools needed to achieve objectives.,103
T0245,Software Development,,,Verify that the software application/network/system accreditation and assurance documentation is current.,105
T0966,Software Development,,,Implement a system disposal strategy which executes required actions when a system is removed from service.,107
T0055,Software Development,,,"Design hardware, operating systems, and software applications to adequately address cybersecurity requirements.",111
T0250,Software Development,,,Identify cyber capabilities strategies for custom hardware and software development based on mission requirements.,114
T0391,Software Development,,,Support integration of qualified cyber workforce personnel into information systems life cycle development processes.,117
T0300,Software Development,,,Develop and document User Experience (UX) requirements including information architecture and user interface requirements.,122
T0464,Software Development,,,Develop detailed design documentation for component and interface specifications to support system design and development.,122
T0701,Software Development,,,"Collaborate with developers, conveying target and technical knowledge in tool requirements submissions, to enhance tool development.",132
T0415,Software Development,,,"Ensure that supply chain, system, network, performance, and cybersecurity requirements are included in contract language and delivered.",135
T0500,Software Development,,,"Modify and maintain existing software to correct errors, to adapt it to new hardware, or to upgrade interfaces and improve performance.",135
T0304,Software Development,,,"Implement and integrate system development life cycle (SDLC) methodologies (e.g., IBM Rational Unified Process) into development environment.",141
T0452,Software Development,,,"Design, build, implement, and maintain a knowledge management framework that provides end-users access to the organization’s intellectual capital.",146
T0406,Software Development,,,Ensure that design and development activities are properly documented (providing a functional description of implementation) and updated as necessary.,150
T0057,Software Development,,,"Design, develop, and modify software systems, using scientific analysis and mathematical models to predict and measure outcome and consequences of design.",154
T0394,Software Development,,,"Work with other service managers and product owners to balance and prioritize services to meet overall customer requirements, constraints, and objectives.",154
T0738,Software Development,,,"Maintain awareness of advancements in hardware and software technologies (e.g., attend training or conferences, reading) and their potential implications.",154
T0221,Software Development,,,"Review authorization and assurance documents to confirm that the level of risk is within acceptable limits for each software application, system, and network.",158
T0601,Software Development,,,"Collaborate with other team members or partner organizations to develop a diverse program of information materials (e.g., web pages, briefings, print materials).",161
T0117,Software Development,,,Identify security implications and apply methodologies within centralized and decentralized environments across the enterprise’s computer systems in software development.,170
T0244,Software Development,,,"Verify that application software/network/system security postures are implemented as stated, document deviations, and recommend required actions to correct those deviations.",173
T0118,Software Development,,,Identify security issues around steady state operation and management of software and incorporate security measures that must be taken when a product reaches its end of life.,174
T0217,Software Development,,,"Address security implications in the software acceptance phase including completion criteria, risk acceptance and documentation, common criteria, and methods of independent testing.",181
T0272,Software Development,,,Ensure that security design and cybersecurity development activities are properly documented (providing a functional description of security implementation) and updated as necessary.,182
T0236,Software Development,,,"Translate security requirements into application design elements including documenting the elements of the software attack surfaces, conducting threat modeling, and defining any specific security criteria.",205
T0417,Software Development,,,"Identify and leverage the enterprise-wide security services while designing and developing secure applications (e.g., Enterprise PKI, Federated Identity server, Enterprise Antivirus solution) when appropriate.",209
T0079,Software Development,,,"Develop specifications to ensure that risk, compliance, and assurance efforts conform with security, resilience, and dependability requirements at the software application, system, and network environment level.",211
T0107,Software Development,,,"Identify and direct the remediation of technical problems encountered during testing and implementation of new systems (e.g., identify and find work-arounds for communication protocols that are not interoperable).",213
T0128,Software Development,,,Integrate automated capabilities for updating or patching system software where practical and develop processes and procedures for manual updating and patching of system software based on current and projected patch timeline requirements for the operational environment of the system.,284
T0944,Systems Architecture,,,Describe the characteristics of a system.,41
T0937,Systems Architecture,,,Determine the placement of a system within the enterprise architecture.,71
T0473,Systems Architecture,,,Document and update as necessary all definition and architecture activities.,76
T0058,Systems Architecture,,,Determine level of assurance of developed capabilities based on test results.,77
T0371,Systems Architecture,,,"Establish acceptable limits for the software application, network, or system.",77
T0458,Systems Architecture,,,Comply with organization systems administration standard operating procedures.,78
T0060,Systems Architecture,,,Develop an understanding of the needs and requirements of information end-users.,80
T0448,Systems Architecture,,,Develop enterprise architecture or system components required to meet user needs.,81
T0414,Systems Architecture,,,"Develop supply chain, system, network, performance, and cybersecurity requirements.",83
T0067,Systems Architecture,,,Develop architectures or system components consistent with technical specifications.,84
T0507,Systems Architecture,,,"Oversee installation, implementation, configuration, and support of system components.",86
T0544,Systems Architecture,,,"Verify stability, interoperability, portability, and/or scalability of system architecture.",91
T0187,Systems Architecture,,,Plan and recommend modifications or adjustments based on exercise results or system environment.,96
T0753,Systems Architecture,,,"Monitor operational status and effectiveness of the processing, exploitation and dissemination architecture.",108
T0045,Systems Architecture,,,"Coordinate with systems architects and developers, as needed, to provide oversight in the development of design solutions.",122
T0257,Systems Architecture,,,"Determine scope, infrastructure, resources, and data sample size to ensure system requirements are adequately demonstrated.",123
T0334,Systems Architecture,,,"Ensure that all systems components can be integrated and aligned (e.g., procedures, databases, policies, software, and hardware).",129
T0658,Systems Architecture,,,Develop cyber operations plans and guidance to ensure that execution and resource allocation decisions align with organization objectives.,138
T0647,Systems Architecture,,,"Determine how identified factors affect the tasking, collection, processing, exploitation and dissemination architecture's form and function.",141
T0034,Systems Architecture,,,"Confer with systems analysts, engineers, programmers, and others to design application and to obtain information on project limitations and capabilities, performance requirements, and interfaces.",195
